Playlist Name,Artist Name,Song Title
lyrics,Jim Croce,Time in a Bottle
lyrics,The Goo Goo Dolls,Iris
lyrics,Alexander Rybak,Fairytale
lyrics,Seafret,Atlantis
lyrics,Linkin Park,Numb
lyrics,Billy Joel,Vienna
lyrics,Tony Bennett,Fly Me To The Moon
lyrics,Emily Watts,La Vie En Rose
lyrics,Guns N' Roses,Patience
lyrics,Måneskin,If I Can Dream
lyrics,Guns N' Roses,Sweet Child O' Mine
lyrics,Cigarettes After Sex,Apocalypse
lyrics,Guns N' Roses,November Rain
lyrics,Radiohead,Creep
lyrics,Ella Fitzgerald,Dream A Little Dream Of Me - Single Version
lyrics,Bad Omens,Just Pretend
lyrics,Myles Smith,Solo
lyrics,John Legend,All of Me
lyrics,Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version
lyrics,Engelbert Humperdinck,A Man Without Love
lyrics,Creedence Clearwater Revival,Have You Ever Seen The Rain
lyrics,Ben E. King,Stand By Me
lyrics,Benson Boone,Slow It Down
lyrics,Nat King Cole,The Very Thought Of You
lyrics,Benson Boone,Beautiful Things
lyrics,Elvis Presley,Can't Help Falling in Love
lyrics,Måneskin,THE LONELIEST
lyrics,Benson Boone,Cry
lyrics,Air Supply,All Out of Love
lyrics,Coldplay,Yellow
lyrics,Taylor Swift,Lover (Remix) [feat. Shawn Mendes]
lyrics,Teen Jesus and the Jean Teasers,Salt
lyrics,Oasis,WONDERWaLL
lyrics,My Chemical Romance,Welcome to the Black Parade
lyrics,Prateek Kuhad,Co2
lyrics,Foo Fighters,Everlong
lyrics,Foo Fighters,My Hero
lyrics,Frankie Valli,Can't Take My Eyes off You
lyrics,Cigarettes After Sex,Sunsetz
lyrics,Cigarettes After Sex,Sweet
lyrics,Cigarettes After Sex,K.
lyrics,Cigarettes After Sex,Kiss It Off Me
lyrics,Johnny Cash,I Still Miss Someone
lyrics,Eric Clapton,Wonderful Tonight
lyrics,Lynyrd Skynyrd,Free Bird
lyrics,Muse,Feeling Good
lyrics,Ed Sheeran,Perfect
lyrics,Måneskin,TIMEZONE
lyrics,Oasis,Champagne Supernova
lyrics,Prateek Kuhad,cold/mess
lyrics,My Chemical Romance,Teenagers
lyrics,Måneskin,THE DRIVER
lyrics,The Police,Every Breath You Take
lyrics,Boston,More Than a Feeling
lyrics,The Clash,Should I Stay or Should I Go - Remastered
lyrics,Linkin Park,Lost
lyrics,Linkin Park,Somewhere I Belong
lyrics,Linkin Park,What I've Done
lyrics,Green Day,Good Riddance (Time of Your Life)
lyrics,Linkin Park,Leave Out All The Rest
lyrics,Bryan Adams,Summer Of '69
lyrics,Nirvana,Heart-Shaped Box
lyrics,Nirvana,About A Girl
lyrics,Nirvana,Lithium
lyrics,Nirvana,Smells Like Teen Spirit
lyrics,The White Stripes,Seven Nation Army
lyrics,Avril Lavigne,Sk8er Boi
lyrics,Paramore,Still into You
lyrics,Måneskin,BABY SAID
lyrics,JVKE,golden hour
lyrics,Keane,Somewhere Only We Know
lyrics,Ruth B.,Dandelions
lyrics,Vance Joy,Riptide
lyrics,Extreme,More Than Words
lyrics,Bruno Mars,Talking to the Moon
lyrics,Hozier,Talk
lyrics,Hozier,Francesca
lyrics,Hozier,Work Song
lyrics,Lewis Capaldi,Someone You Loved
lyrics,Duncan Laurence,Arcade
lyrics,Tom Odell,Another Love
lyrics,Frank Sinatra,My Way - 2008 Remastered
lyrics,AJR,World's Smallest Violin
lyrics,AJR,The Good Part
lyrics,Hozier,Someone New
lyrics,Hozier,Too Sweet
lyrics,Nickelback,How You Remind Me
lyrics,Steve Lacy,Bad Habit
lyrics,The Neighbourhood,Sweater Weather
lyrics,Coldplay,The Scientist
lyrics,Coldplay,Paradise
lyrics,Wheatus,Teenage Dirtbag
lyrics,Anne-Marie,2002
lyrics,P!nk,Just Give Me a Reason (feat. Nate Ruess)
lyrics,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse
lyrics,Adele,Someone Like You
lyrics,Norah Jones,Come Away With Me
lyrics,Norah Jones,Don't Know Why
lyrics,Norah Jones,Turn Me On
lyrics,Ella Fitzgerald,Autumn In New York
lyrics,Ella Fitzgerald,Cheek To Cheek
lyrics,Ella Fitzgerald,They Can't Take That Away From Me
lyrics,Clyde Otis,This Bitter Earth / On The Nature Of Daylight
lyrics,Cigarettes After Sex,Heavenly
lyrics,beabadoobee,Coffee
lyrics,Israel Kamakawiwo'ole,Somewhere Over The Rainbow_What A Wonderful World
lyrics,Dido,Thank You
lyrics,Ed Sheeran,Supermarket Flowers
lyrics,Taylor Swift,All Too Well
lyrics,Taylor Swift,Last Kiss (Taylor's Version)
lyrics,Louis Armstrong,A Kiss To Build A Dream On
lyrics,Taylor Swift,my tears ricochet
lyrics,Taylor Swift,loml
lyrics,Elvis Costello,She
lyrics,Frank Sinatra,Somethin' Stupid
lyrics,Taylor Swift,Enchanted (Taylor's Version)
lyrics,Taylor Swift,august
lyrics,Taylor Swift,happiness
lyrics,Rex Orange County,Best Friend
lyrics,Stephen Schwartz,"For Good - From ""Wicked"" Original Broadway Cast Recording/2003"
lyrics,Stevie Wonder,As
lyrics,Edward Sharpe & The Magnetic Zeros,Home
lyrics,Myles Smith,Stargazing
lyrics,Ed Sheeran,Castle on the Hill
lyrics,Dolly Parton,Light of a Clear Blue Morning
lyrics,Billy Joel,Piano Man
lyrics,Sawyer Hill,Look At The Time
lyrics,Alexander Stewart,how dare you
lyrics,Billie Eilish,WILDFLOWER
lyrics,Mark Ambor,Belong Together
lyrics,Linkin Park,Breaking the Habit
lyrics,Jimi Hendrix,Purple Haze
lyrics,Journey,Don't Stop Believin'
lyrics,Bruce Springsteen,No Surrender
lyrics,Eagles,Take It Easy - 2013 Remaster
lyrics,John Lennon,Beautiful Boy (Darling Boy) - Remastered 2010
lyrics,Radiohead,Fake Plastic Trees
lyrics,Arctic Monkeys,She's Thunderstorms
lyrics,Arctic Monkeys,The Bakery
lyrics,Taylor Swift,The Manuscript
lyrics,Bruno Major,Nothing
lyrics,Valley,When You Know Someone
lyrics,Paramore,The Only Exception
lyrics,Sarah Cothran,As the World Caves In
lyrics,Radiohead,Karma Police
lyrics,Radiohead,2 + 2 = 5
lyrics,John Mayer,Gravity
lyrics,The Fray,How to Save a Life
lyrics,Surf Curse,Freaks
lyrics,Mitski,First Love / Late Spring
lyrics,Taylor Swift,cardigan
lyrics,Taylor Swift,illicit affairs
lyrics,Adele,Chasing Pavements
lyrics,Matt Maeson,Hallucinogenics
lyrics,Ricky Montgomery,This December
lyrics,Conan Gray,Astronomy
lyrics,Zach Bryan,Something in the Orange
lyrics,Arctic Monkeys,Body Paint
lyrics,Valley,Lost In Translation
lyrics,Wallows,Remember When
lyrics,Wallows,Are You Bored Yet? (feat. Clairo)
lyrics,John K,love you anyway
lyrics,Niall Horan,Black And White
lyrics,blink-182,First Date
lyrics,Lizzy McAlpine,ceilings
lyrics,Shekhar Ravjiani,Sheykhar-Rang
lyrics,Coolio,Gangsta's Paradise
lyrics,Zach Bryan,Heading South
lyrics,John Mayer,Last Train Home
lyrics,John Mayer,New Light
lyrics,Taylor Swift,Fortnight (feat. Post Malone)
lyrics,Noah Kahan,Stick Season
lyrics,Ed Sheeran,The Joker And The Queen (feat. Taylor Swift)
lyrics,Abhay Jodhpurkar,Mere Naam Tu
lyrics,The Smashing Pumpkins,Bullet With Butterfly Wings - Remastered 2012
lyrics,U2,Where The Streets Have No Name - Remastered
lyrics,Green Day,Basket Case
lyrics,Fleetwood Mac,Landslide
lyrics,Jeff Buckley,Hallelujah
lyrics,Leonard Cohen,Hallelujah
lyrics,Don McLean,American Pie
lyrics,Simon & Garfunkel,The Sound of Silence
lyrics,The Beatles,Yesterday - Remastered 2009
lyrics,Joji,Glimpse of Us
lyrics,Miley Cyrus,Flowers
lyrics,Kina,Can We Kiss Forever?
lyrics,Steely Dan,Only A Fool Would Say That
lyrics,Black Sea Dahu,Glue
lyrics,Gerry Rafferty,Right Down the Line
lyrics,half•alive,Did I Make You Up?
lyrics,The West Coast Pop Art Experimental Band,Shifting Sands
lyrics,The Chainsmokers,Something Just Like This
lyrics,Juice Newton,Angel Of The Morning
lyrics,Maroon 5,Payphone
lyrics,Grace VanderWaal,I Don't Know My Name
lyrics,Backstreet Boys,I Want It That Way
lyrics,Luke Combs,Beautiful Crazy
lyrics,PUBLIC,Make You Mine
lyrics,Coldplay,Hymn for the Weekend
lyrics,Oasis,Champagne Supernova - Remastered
lyrics,Powfu,death bed (coffee for your head)
lyrics,MAGIC!,Rude
lyrics,James Arthur,Just Us
lyrics,Prateek Kuhad,Just Like A Movie
lyrics,Joy Division,Love Will Tear Us Apart
lyrics,Arcade Fire,Sprawl II (Mountains Beyond Mountains)
lyrics,Leonard Cohen,"So Long, Marianne"
lyrics,Kate Bush,Cloudbusting
lyrics,Nick Cave & The Bad Seeds,Into My Arms
lyrics,The Smiths,There Is a Light That Never Goes Out - 2011 Remaster
lyrics,Sean Kingston,Beautiful Girls
lyrics,Avicii,Wake Me Up
lyrics,Linkin Park,CASTLE OF GLASS
lyrics,JP Saxe,If the World Was Ending (feat. Julia Michaels)
lyrics,Aerosmith,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack"
lyrics,Owl City,Fireflies
lyrics,Taba Chake,Blush
lyrics,OneRepublic,Secrets
lyrics,Arctic Monkeys,Do I Wanna Know?
lyrics,Queen,Bohemian Rhapsody - Remastered 2011
lyrics,Green Day,Boulevard of Broken Dreams
lyrics,Alec Benjamin,Match In The Rain
lyrics,The Weeknd,Save Your Tears
lyrics,Neon Trees,Everybody Talks
lyrics,Avenged Sevenfold,Dear God
lyrics,My Chemical Romance,Welcome to the Black Parade
lyrics,Ezra Furman,I'm Coming Clean
lyrics,Tai Verdes,last day on earth
lyrics,Tame Impala,The Less I Know The Better
lyrics,Labrinth,Still Don't Know My Name
lyrics,Taylor Swift,Style
lyrics,Chris Lanzon,Lilo
lyrics,Sonu Nigam,Soona Soona
lyrics,Chappell Roan,Red Wine Supernova
lyrics,Chloe Slater,Nothing Shines On This Island
lyrics,Centerfold,Drowning
lyrics,Patrick Watson,Sit Down Beside Me
lyrics,Rex Orange County,Corduroy Dreams
lyrics,Justin Bieber,Confident
lyrics,Zidd,Aas
lyrics,Eagles,The Sad Cafe - 2013 Remaster
lyrics,Laura Alden,If It Is Love
lyrics,Meghan Trainor,Like I'm Gonna Lose You (feat. John Legend)
lyrics,Aashir Wajahat,Aadhey Adhoorey
lyrics,Scott Levi Jones,Free Bird
Coverlist,Ghost,Mary On A Cross
Coverlist,Bon Jovi,Livin' On A Prayer
Coverlist,Radiohead,Creep
Coverlist,Blur,Song 2 - 2012 Remaster
Coverlist,Guns N' Roses,Knockin' On Heaven's Door
Coverlist,Pearl Jam,Even Flow
Coverlist,The Killers,Mr. Brightside
Coverlist,Taylor Swift,Lover (Remix) [feat. Shawn Mendes]
Coverlist,Halestorm,Bad Romance
Coverlist,Måneskin,GOSSIP (feat. Tom Morello)
Coverlist,Måneskin,THE LONELIEST
Coverlist,Nickelback,How You Remind Me
Coverlist,Pineapple Express,Dil Se
Coverlist,The Local Train,Choo Lo
Coverlist,AC/DC,Highway to Hell
Coverlist,Bad Omens,Just Pretend
Coverlist,Arctic Monkeys,Arabella
Coverlist,Black Sabbath,War Pigs - 2009 Remaster
Coverlist,Arctic Monkeys,Do I Wanna Know?
Coverlist,Bharg,Roshni
Coverlist,Måneskin,ZITTI E BUONI
Coverlist,Britney Spears,Toxic
Coverlist,Bullet For My Valentine,Tears Don't Fall
Coverlist,Farhan Akhtar,Pichle Saat Dinon Mein (Live Version)
Coverlist,Gotye,Somebody That I Used To Know
Coverlist,Green Day,Wake Me up When September Ends
Coverlist,Harry Styles,Kiwi
Coverlist,Hozier,Take Me To Church
Coverlist,Olivia Rodrigo,vampire
Coverlist,Nirvana,Smells Like Teen Spirit
Coverlist,Queen,Bohemian Rhapsody - Remastered 2011
Coverlist,Pritam,Alvida
H/L Coverlist,Ghost,Mary On A Cross
H/L Coverlist,Harold Faltermeyer,Top Gun Anthem
H/L Coverlist,Dio,Holy Diver
H/L Coverlist,Scorpions,Rock You Like a Hurricane - 2011
H/L Coverlist,Linkin Park,Lost
H/L Coverlist,Within Temptation,Faster
H/L Coverlist,Iron Maiden,Dance of Death - 2015 Remaster
H/L Coverlist,Led Zeppelin,Black Dog - Remaster
H/L Coverlist,AC/DC,Back In Black
H/L Coverlist,Korn,"Another Brick in the Wall, Pt. 1, 2, 3 - Pink Floyd Cover"
H/L Coverlist,The Cranberries,Zombie
H/L Coverlist,Plini,Electric Sunrise
H/L Coverlist,Bon Jovi,Livin' On A Prayer
H/L Coverlist,Bon Jovi,It's My Life
H/L Coverlist,Bullet For My Valentine,Tears Don't Fall
H/L Coverlist,Green Day,Basket Case
H/L Coverlist,Guns N' Roses,Knockin' On Heaven's Door
H/L Coverlist,Royal Blood,Mountains At Midnight
H/L Coverlist,Beach Bunny,Painkiller
H/L Coverlist,Ruel,Painkiller
H/L Coverlist,The Cure,Friday I'm In Love
H/L Coverlist,The Cure,Just Like Heaven
H/L Coverlist,The Cure,Close To Me
H/L Coverlist,Pixies,Where Is My Mind?
H/L Coverlist,The Smiths,There Is a Light That Never Goes Out - 2011 Remaster
H/L Coverlist,Avenged Sevenfold,Seize the Day
H/L Coverlist,The Local Train,Choo Lo
H/L Coverlist,Queen,Radio Ga Ga - Remastered 2011
H/L Coverlist,Post Malone,A Thousand Bad Times
H/L Coverlist,The Offspring,"You're Gonna Go Far, Kid"
H/L Coverlist,Green Day,American Idiot
H/L Coverlist,System Of A Down,Chop Suey!
H/L Coverlist,System Of A Down,Toxicity
H/L Coverlist,System Of A Down,B.Y.O.B.
H/L Coverlist,Stevie Nicks,Stop Draggin' My Heart Around (with Tom Petty and The Heartbreakers) - 2016 Remaster
H/L Coverlist,Heart,There's The Girl
H/L Coverlist,Beach Bunny,Ms. California
H/L Coverlist,Coyote Theory,Art of Understanding
H/L Coverlist,Tai Verdes,AOK
H/L Coverlist,Bad Omens,Just Pretend
H/L Coverlist,Neon Trees,Everybody Talks
H/L Coverlist,Adar Alfandari,baby please don't go
Pop,Bee Gees,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack"
Pop,George Michael,I Knew You Were Waiting (For Me)
Pop,Imagine Dragons,On Top Of The World
Pop,Steve Winwood,Higher Love
Pop,Roxette,"It Must Have Been Love - From the Film ""Pretty Woman"""
Pop,George Ezra,Budapest
Pop,Jason Mraz,I'm Yours
Pop,Billy Joel,We Didn't Start the Fire
Pop,Roxette,Listen To Your Heart
Pop,Backstreet Boys,I Want It That Way
Pop,Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)"
Pop,Imagine Dragons,It's Time
Pop,Eminem,Love The Way You Lie
Pop,Alan Walker,The Spectre
Pop,Cyndi Lauper,Time After Time
Pop,Richard Marx,Right Here Waiting
Pop,George Michael,Careless Whisper
Pop,a-ha,Take on Me
Pop,Rick Astley,Never Gonna Give You Up
Pop,ABBA,Dancing Queen
Pop,Bee Gees,How Deep Is Your Love
Pop,Michael Jackson,Billie Jean
Pop,Michael Jackson,Beat It
Pop,Michael Jackson,Smooth Criminal - 2012 Remaster
Pop,Michael Jackson,Bad - 2012 Remaster
Pop,Elton John,Sacrifice
Classics,Lynyrd Skynyrd,Sweet Home Alabama
Classics,Eagles,Hotel California - 2013 Remaster
Classics,Creedence Clearwater Revival,Bad Moon Rising
Classics,Steppenwolf,Born To Be Wild
Classics,Deep Purple,Smoke On The Water - Remastered 2012
Classics,TOTO,Africa
Classics,Queen,Bohemian Rhapsody - Remastered 2011
Classics,Billy Joel,We Didn't Start the Fire
Classics,Queen,We Are The Champions - Remastered 2011
Classics,Queen,We Will Rock You - Remastered 2011
Classics,Creedence Clearwater Revival,Have You Ever Seen The Rain
Classics,Bon Jovi,Livin' On A Prayer
Classics,Guns N' Roses,Sweet Child O' Mine
Classics,Bon Jovi,You Give Love A Bad Name
Classics,AC/DC,Back In Black
Classics,Bon Jovi,It's My Life
Classics,AC/DC,Thunderstruck
Classics,Metallica,Enter Sandman
Classics,Ozzy Osbourne,Crazy Train
Classics,Nirvana,Smells Like Teen Spirit
Classics,Guns N' Roses,Paradise City
Classics,Iron Maiden,Run to the Hills - 2015 Remaster
Classics,Iron Maiden,The Number of the Beast - 2015 Remaster
Classics,The Police,Every Breath You Take
Classics,Queen,Don't Stop Me Now - Remastered 2011
Classics,U2,One
Classics,Red Hot Chili Peppers,Under the Bridge
Classics,ZZ Top,La Grange - 2005 Remaster
Classics,Guns N' Roses,Knockin' On Heaven's Door
Classics,AC/DC,Highway to Hell
Classics,Iron Maiden,Hallowed Be Thy Name - 2015 Remaster
Classics,TOTO,Hold the Line
Classics,Red Hot Chili Peppers,Snow (Hey Oh)
Classics,Metallica,Nothing Else Matters
Classics,AC/DC,Hells Bells
Classics,Bon Jovi,Wanted Dead Or Alive
Classics,U2,With Or Without You
Classics,AC/DC,Shoot to Thrill
Classics,The Verve,Bitter Sweet Symphony - Remastered 2016
Classics,ZZ Top,Gimme All Your Lovin'
Classics,Led Zeppelin,Whole Lotta Love - 1990 Remaster
Classics,Black Sabbath,Iron Man - 2012 - Remaster
Classics,Black Sabbath,Paranoid
Classics,The Beatles,Let It Be - Remastered 2009
Classics,U2,Beautiful Day
Classics,AC/DC,You Shook Me All Night Long
Classics,Dire Straits,Walk Of Life
Classics,The Who,Baba O'Riley
Classics,Bruce Springsteen,Born in the U.S.A.
Classics,Bryan Adams,Summer Of '69
Classics,U2,I Still Haven't Found What I'm Looking For
Classics,Journey,Don't Stop Believin'
Classics,KISS,Rock And Roll All Nite
Classics,Iron Maiden,The Trooper - 2015 Remaster
Classics,Guns N' Roses,Welcome To The Jungle
Classics,The Beatles,Here Comes The Sun - Remastered 2009
